id,tick_lower,tick_upper,ticks,deposited_token0,deposited_token1,collected_token0,collected_token1,total_deposited_usd,total_profit_usd,apr_30d,apr,price_lower,price_upper,price_range,price_mid
"164404","1","2","1","260002.120172","104537.516916","0","364580.736743","364539.63708799996","107.8978313703737","0.03","0.40","1.0001","1.0002","0.0001","1.0002"
"205963","2","3","1","134814.788482","24090.990752","147757.677841","11145.36919","158905.77923400002","106.08870877151882","0.09","1.05","1.0002","1.0003","0.0001","1.0003"
"67645","4","5","1","26157.855325","245035.741517","0","271206.552123","271193.59684199997","105.48904859303134","0.03","0.38","1.0004","1.0005","0.0001","1.0005"
"79972","0","1","1","105143.195777","98890.296935","204031.096429","0","204033.492712","105.00899767923013","0.04","0.53","1.0000","1.0001","0.0001","1.0000"
"119148","-3","-2","1","252077.535104","1851737.609621","0","2103763.227276","2103815.144725","104.70249134071287","0.00","0.06","0.9997","0.9998","0.0001","0.9998"
"204720","2","3","1","25095.346581","75620.635517","100698.022273","0","100715.98209800001","104.54825213436663","0.13","1.63","1.0002","1.0003","0.0001","1.0003"
"67728","1","6","5","43504.207268","159968.813484","203425.594565","0","203473.020752","103.68404970675914","0.04","0.50","1.0001","1.0006","0.0005","1.0004"
"100030","4","5","1","365096.926909","417200.831279","782119.754754","0","782297.758188","103.55812455184268","0.01","0.14","1.0004","1.0005","0.0001","1.0005"
"183602","1","2","1","186832.892965","13144.7564","0","200006.289024","199977.64936500002","102.26010076116094","0.06","0.74","1.0001","1.0002","0.0001","1.0002"
"100805","1","2","1","4751.403467","95218.034089","99955.382904","0","99969.43755599999","101.32987881888577","0.09","1.09","1.0001","1.0002","0.0001","1.0002"
"72697","1","2","1","120661.421534","84909.182257","158450.782792","47114.828606","205570.60379099997","100.5106191741652","0.04","0.49","1.0001","1.0002","0.0001","1.0002"
"60290","-3","-2","1","39189.675102","96976.097331","0","136157.366815","136165.772433","100.20723945971346","0.06","0.70","0.9997","0.9998","0.0001","0.9998"
"113209","-3","-2","1","216720.873358","185572.798348","28793.947616","373456.861166","402293.671706","99.00617431729374","0.02","0.28","0.9997","0.9998","0.0001","0.9998"
"91063","-4","-3","1","74339.047494","65778.43234","16830.165014","123268.44298","140117.479834","98.24008779917051","0.06","0.73","0.9996","0.9997","0.0001","0.9997"
"142882","12","13","1","680774.279326","32305.788801","603652.414746","109520.368913","713080.068127","98.22259586500384","0.01","0.17","1.0012","1.0013","0.0001","1.0013"
"100847","1","3","2","387996.28102","222998.316606","502430.230486","108546.714432","610994.597626","97.48284835857241","0.01","0.17","1.0001","1.0003","0.0002","1.0002"
"102790","1","2","1","89926.687638","71182.516337","161100.514295","0","161109.203975","97.32592105180431","0.05","0.65","1.0001","1.0002","0.0001","1.0002"
"192077","5","6","1","55971.954138","44877.603516","89423.367501","11408.527452","100849.557654","96.5084851927942","0.12","1.43","1.0005","1.0006","0.0001","1.0006"
"41363","-3","-2","1","10191.296181","999.609044","0","11188.40336","11190.905225","95.84442949559288","0.60","7.35","0.9997","0.9998","0.0001","0.9998"
"154513","5","10","5","384968.057881","172889.964212","557758.222003","0","557858.022093","95.572753871689","0.02","0.22","1.0005","1.0010","0.0005","1.0008"
"43002","-5","-4","1","45350.71139","4949.158725","0","50279.686038","50299.870115","95.0406637048625","0.13","1.64","0.9995","0.9996","0.0001","0.9996"
"37788","-2","-1","1","47299.028234","15067.553254","62369.354931","0","62366.581487999996","94.87245092609975","0.11","1.28","0.9998","0.9999","0.0001","0.9999"
"90615","-4","-3","1","0","499508.274907","223172.675593","276407.51976","499508.274907","94.80725897593966","0.02","0.20","0.9996","0.9997","0.0001","0.9997"
"88974","-3","-2","1","567991.850669","199627.117971","767675.1889","0","767618.96864","94.66243781866825","0.01","0.13","0.9997","0.9998","0.0001","0.9998"
"45576","-3","-2","1","6310.832079","5592.276442","0","11901.679311","11903.108521","93.98447930943817","0.57","6.93","0.9997","0.9998","0.0001","0.9998"
"205591","2","3","1","100149.70065","25304.88166","125449.266998","0","125454.58231","93.33409009376562","0.10","1.17","1.0002","1.0003","0.0001","1.0003"
