id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	price_lower	price_upper	price_range	price_mid
43808	-5	-4	1	6704.995129	657.49392	0.0	7359.502567	7362.489049	13.619843	0.13	1.61	0.9995	0.9996	0.0001	0.9996
191906	5	6	1	4758.60353	7037.718158	11792.594113	0.0	11796.321688	12.74875	0.13	1.62	1.0005	1.0006	0.0001	1.0006
204682	2	3	1	3129.332808	8578.66938	11618.53869	87.43016	11708.002188	11.403485	0.13	1.53	1.0002	1.0003	0.0001	1.0003
204752	2	3	1	2739.290268	6095.657795	8833.518902	0.0	8834.948063	8.986498	0.13	1.59	1.0002	1.0003	0.0001	1.0003
162744	1	3	2	3255.121311	525.6024	0.0	3781.42002	3780.723711	4.587085	0.13	1.62	1.0001	1.0003	0.0002	1.0002
191943	5	6	1	2253.174416	1847.673291	4099.882558	0.0	4100.847707	4.230895	0.13	1.54	1.0005	1.0006	0.0001	1.0006
191918	5	6	1	1531.502847	2265.01017	3795.313338	0.0	3796.513017	4.032004	0.13	1.59	1.0005	1.0006	0.0001	1.0006
168069	1	3	2	1787.97	1558.177043	1505.024348	1841.179732	3346.147043	3.975319	0.13	1.62	1.0001	1.0003	0.0002	1.0002
40807	-4	-1	3	849.589761	500.0	1349.761991	0.0	1349.589761	2.574483	0.13	1.63	0.9996	0.9999	0.0003	0.9998
74657	0	5	5	554.767807	182.168819	0.0	737.109614	736.936626	1.119549	0.13	1.53	1.0	1.0005	0.0005	1.0003
60783	-3	-2	1	119.367548	349.874737	0.0	469.216896	469.242285	0.782542	0.13	1.6	0.9997	0.9998	0.0001	0.9998
132597	0	10	10	264.31871	242.0	506.2609	0.0	506.31871	0.654139	0.13	1.54	1.0	1.001	0.001	1.0005
44546	-6	-1	5	209.900234	55.819563	0.0	265.65737	265.719797	0.483673	0.13	1.59	0.9994	0.9999	0.0005	0.9997
162982	1	3	2	246.584747	36.190004	0.0	282.827226	282.774751	0.337612	0.13	1.59	1.0001	1.0003	0.0002	1.0002
44696	-5	0	5	24.999995	1.877844	0.0	26.872025	26.877839	0.048768	0.13	1.58	0.9995	1.0	0.0005	0.9998
233386	-3	7	10	18.821956	13.735666	8.151391	1.877782	32.557622	0.027758	0.13	1.58	0.9997	1.0007	0.001	1.0002
168328	2	3	1	232472.099659	167605.336149	9283.739693	390853.335374	400077.435808	422.55275	0.12	1.44	1.0002	1.0003	0.0001	1.0003
