id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_est_30d	price_lower	price_upper	price_range	price_mid
312985.0	1.0	2.0	1.0	4754.16	2481.2	7235.06	0.0	7235.35	-0.290628	-0.0488708	1.0001	1.0002	0.00010001	1.00015
313005.0	1.0	2.0	1.0	11338.8	6000.8	17338.9	0.0	17339.6	-0.703833	-0.0493858	1.0001	1.0002	0.00010001	1.00015
313010.0	1.0	2.0	1.0	444.865	237.324	682.161	0.0	682.189	-0.027858	-0.049684	1.0001	1.0002	0.00010001	1.00015
313034.0	1.0	2.0	1.0	15406.2	8496.24	23901.4	0.0	23902.4	-1.0005	-0.050927	1.0001	1.0002	0.00010001	1.00015
313045.0	1.0	2.0	1.0	4576.95	2524.11	7100.76	0.0	7101.05	-0.297235	-0.0509271	1.0001	1.0002	0.00010001	1.00015
313052.0	1.0	3.0	2.0	46821.0	4331.56	51152.1	0.0	51152.6	-0.469784	-0.0111738	1.0001	1.0003	0.00020003	1.0002
313094.0	1.0	2.0	1.0	78207.1	21798.7	100003.0	0.0	100006.0	-2.41751	-0.0294113	1.0001	1.0002	0.00010001	1.00015
313124.0	1.0	2.0	1.0	6266.14	1909.44	8175.37	0.0	8175.58	-0.213217	-0.0317304	1.0001	1.0002	0.00010001	1.00015
313277.0	0.0	3.0	3.0	5955.0	4183.16	6498.35	3639.74	10138.2	-0.062887	-0.00754699	1.0	1.0003	0.00030003	1.00015
313295.0	1.0	2.0	1.0	13282.7	4921.82	18204.0	0.0	18204.6	-0.55865	-0.0373363	1.0001	1.0002	0.00010001	1.00015
313311.0	0.0	2.0	2.0	4680.12	5447.11	10126.9	0.0	10127.2	-0.292947	-0.0351941	1.0	1.0002	0.00020001	1.0001
313609.0	1.0	2.0	1.0	193281.0	16032.1	209311.0	0.0	209313.0	-1.66448	-0.00967507	1.0001	1.0002	0.00010001	1.00015
313656.0	1.0	2.0	1.0	140000.0	11160.0	151159.0	0.0	151160.0	-1.15708	-0.00931317	1.0001	1.0002	0.00010001	1.00015
313864.0	0.0	1.0	1.0	27.6126	8403.8	8431.0	0.0	8431.42	-0.418784	-0.0604312	1.0	1.0001	0.0001	1.00005
313866.0	0.0	1.0	1.0	290.409	13184.1	13473.9	0.0	13474.5	-0.64495	-0.058235	1.0	1.0001	0.0001	1.00005
313881.0	0.0	1.0	1.0	26333.1	45242.4	71574.1	0.0	71575.6	-1.51488	-0.0257504	1.0	1.0001	0.0001	1.00005
313907.0	0.0	1.0	1.0	2952.04	36038.5	38988.9	0.0	38990.5	-1.66537	-0.0519664	1.0	1.0001	0.0001	1.00005
313909.0	0.0	1.0	1.0	345.495	2653.55	2538.28	460.661	2999.05	-0.106981	-0.0434005	1.0	1.0001	0.0001	1.00005
313910.0	0.0	1.0	1.0	7216.6	54750.3	61964.5	0.0	61966.9	-2.41851	-0.0474855	1.0	1.0001	0.0001	1.00005
313918.0	0.0	1.0	1.0	171.97	1207.25	531.692	847.502	1379.22	-0.027031	-0.0238451	1.0	1.0001	0.0001	1.00005
313937.0	0.0	1.0	1.0	2326.43	14087.9	16413.7	0.0	16414.3	-0.604512	-0.0448078	1.0	1.0001	0.0001	1.00005
313946.0	0.0	1.0	1.0	1025.32	6208.86	7233.92	0.0	7234.18	-0.266422	-0.0448076	1.0	1.0001	0.0001	1.00005
313986.0	0.0	1.0	1.0	85376.4	173863.0	259234.0	0.0	259239.0	-5.8298	-0.0273605	1.0	1.0001	0.0001	1.00005
313994.0	0.0	1.0	1.0	4.22736	7.77165	11.9987	0.0	11.999	-0.000256	-0.0259577	1.0	1.0001	0.0001	1.00005
314025.0	0.0	1.0	1.0	4516.56	5442.23	7677.99	2280.69	9958.79	-0.116951	-0.0142879	1.0	1.0001	0.0001	1.00005
314043.0	0.0	1.0	1.0	59762.3	83255.9	143016.0	0.0	143018.0	-2.4231	-0.0206135	1.0	1.0001	0.0001	1.00005
314056.0	0.0	1.0	1.0	20534.1	27465.9	47999.2	0.0	48000.0	-0.785742	-0.0199164	1.0	1.0001	0.0001	1.00005
314057.0	0.0	1.0	1.0	15928.4	21305.5	37233.4	0.0	37234.0	-0.609507	-0.0199164	1.0	1.0001	0.0001	1.00005
314084.0	0.0	1.0	1.0	116000.0	87407.7	203406.0	0.0	203408.0	-1.87939	-0.0112414	1.0	1.0001	0.0001	1.00005
